"","source","target","weight","Type"
"200",25,74,1,"Undirected"
"201",28,74,2,"Undirected"
"202",9,75,1,"Undirected"
"203",11,75,2,"Undirected"
"204",13,75,6,"Undirected"
"205",14,75,1,"Undirected"
"206",9,76,1,"Undirected"
"207",13,76,1,"Undirected"
"208",16,76,1,"Undirected"
"209",27,76,2,"Undirected"
"210",1,77,2,"Undirected"
"211",2,77,1,"Undirected"
"212",3,77,1,"Undirected"
"213",5,77,1,"Undirected"
"214",7,77,5,"Undirected"
"215",8,77,1,"Undirected"
"216",9,77,1,"Undirected"
"217",10,77,1,"Undirected"
"218",13,77,1,"Undirected"
"219",14,77,2,"Undirected"
"220",15,77,1,"Undirected"
"221",17,77,1,"Undirected"
"222",18,77,2,"Undirected"
"223",19,77,1,"Undirected"
"224",22,77,2,"Undirected"
"225",25,77,2,"Undirected"
"226",27,77,1,"Undirected"
"227",28,77,2,"Undirected"
"228",18,78,1,"Undirected"
"229",24,78,1,"Undirected"
"230",10,79,1,"Undirected"
"231",11,79,3,"Undirected"
"232",13,79,2,"Undirected"
"233",14,79,3,"Undirected"
"234",19,79,1,"Undirected"
"235",20,79,2,"Undirected"
"236",23,79,3,"Undirected"
"237",15,80,1,"Undirected"
"238",26,80,3,"Undirected"
"239",26,81,1,"Undirected"
"240",1,82,1,"Undirected"
"241",10,82,2,"Undirected"
"242",13,82,1,"Undirected"
"243",14,82,2,"Undirected"
"244",23,82,1,"Undirected"
"245",25,82,1,"Undirected"
"246",26,82,1,"Undirected"
"247",28,82,1,"Undirected"
"248",1,83,1,"Undirected"
"249",10,83,3,"Undirected"
"250",28,83,1,"Undirected"
"251",2,84,2,"Undirected"
"252",3,85,1,"Undirected"
"253",10,85,4,"Undirected"
"254",11,85,1,"Undirected"
"255",13,85,7,"Undirected"
"256",25,85,2,"Undirected"
"257",28,85,1,"Undirected"
"258",3,86,2,"Undirected"
"259",8,86,1,"Undirected"
"260",17,86,1,"Undirected"
"261",22,86,1,"Undirected"
"262",26,86,5,"Undirected"
"263",1,87,1,"Undirected"
"264",9,87,1,"Undirected"
"265",10,87,1,"Undirected"
"266",11,87,2,"Undirected"
"267",14,87,2,"Undirected"
"268",19,87,1,"Undirected"
"269",20,87,2,"Undirected"
"270",9,88,1,"Undirected"
"271",1,89,1,"Undirected"
"272",5,89,1,"Undirected"
"273",8,89,1,"Undirected"
"274",10,89,5,"Undirected"
"275",11,89,1,"Undirected"
"276",12,89,1,"Undirected"
"277",20,89,1,"Undirected"
"278",21,89,1,"Undirected"
"279",22,89,1,"Undirected"
"280",25,89,1,"Undirected"
"281",10,90,1,"Undirected"
"282",1,91,4,"Undirected"
"283",3,91,2,"Undirected"
"284",10,91,9,"Undirected"
"285",11,91,1,"Undirected"
"286",14,91,1,"Undirected"
"287",17,91,1,"Undirected"
"288",18,91,1,"Undirected"
"289",28,91,2,"Undirected"
"290",13,92,4,"Undirected"
"291",14,93,1,"Undirected"
"292",20,93,1,"Undirected"
"293",19,94,2,"Undirected"
"294",20,94,2,"Undirected"
"295",10,95,1,"Undirected"
"296",17,95,1,"Undirected"
"297",19,95,3,"Undirected"
